code,brk_height,brk_tt_len,longhu_dis,xt_start,xt_end,brk_end,stage,date
6d16b060b693d6c94d6dbbc11fa50562,11.91,2,0,2018-06-19,2018-07-06,2018-07-10,5,2018-07-09
95ea7dcb3f5ac84c240188d107ec4d52,3.71,2,-1,2018-06-19,2018-07-24,2018-07-26,5,2018-07-25
ec2e43a3b4d46534c5827a6446b25f0a,21.83,3,0,2018-04-23,2018-05-07,2018-05-10,5,2018-05-08
ec2e43a3b4d46534c5827a6446b25f0a,21.9,3,0,2018-05-10,2018-05-31,2018-06-05,5,2018-06-01
ec2e43a3b4d46534c5827a6446b25f0a,9.84,1,-1,2018-06-26,2018-07-09,2018-07-10,5,2018-07-10
9c1fac8b88a5e5cb0387e4ca096df5ce,14.63,3,2,2018-05-02,2018-05-15,2018-05-18,5,2018-05-16
9c1fac8b88a5e5cb0387e4ca096df5ce,8.29,3,-1,2018-06-21,2018-08-07,2018-08-10,5,2018-08-08
770a356fc13b5a644f00e56a8ef41a84,11.39,2,-1,2018-06-26,2018-07-13,2018-07-17,5,2018-07-16
10f97b0d1ae9d6967a455b3d8db0cd1e,12.26,2,0,2018-03-01,2018-03-19,2018-03-21,5,2018-03-20
10f97b0d1ae9d6967a455b3d8db0cd1e,4.73,1,-1,2018-03-21,2018-05-25,2018-05-28,5,2018-05-28
c4fe8fe6e916be11770b886a93211138,13.02,4,-1,2018-03-23,2018-04-03,2018-04-11,5,2018-04-04
c4fe8fe6e916be11770b886a93211138,9.44,2,-1,2018-04-11,2018-04-23,2018-04-25,5,2018-04-24
c4fe8fe6e916be11770b886a93211138,9.1,2,-1,2018-05-02,2018-05-18,2018-05-22,5,2018-05-21
bdd6a8a24e0759688f80170f8a87f7ab,2.71,1,-1,2018-02-13,2018-02-28,2018-03-01,5,2018-03-01
bdd6a8a24e0759688f80170f8a87f7ab,21.1,2,0,2018-03-01,2018-04-24,2018-04-26,5,2018-04-25
bdd6a8a24e0759688f80170f8a87f7ab,3.28,1,-1,2018-06-19,2018-07-02,2018-07-03,5,2018-07-03
bdd6a8a24e0759688f80170f8a87f7ab,10.04,1,0,2018-07-03,2018-07-17,2018-07-18,5,2018-07-18
88b247d0ccfda772c62831364953b350,10.6,3,-1,2018-02-22,2018-03-08,2018-03-13,5,2018-03-09
88b247d0ccfda772c62831364953b350,12.59,2,0,2018-03-13,2018-03-29,2018-04-02,5,2018-03-30
88b247d0ccfda772c62831364953b350,3.63,4,-1,2018-06-19,2018-07-20,2018-07-26,5,2018-07-23
11e890589806003c881624f4385ab279,4.27,3,-1,2018-03-01,2018-03-14,2018-03-19,5,2018-03-15
11e890589806003c881624f4385ab279,16.11,5,3,2018-06-21,2018-07-30,2018-08-06,5,2018-07-31
4ce779943e97bb52bf9acb1ca78442b5,4.45,1,-1,2018-02-22,2018-03-12,2018-03-13,5,2018-03-13
f64b9ada7a5c691e6da2bc455523fcfc,3.14,1,-1,2018-02-27,2018-03-12,2018-03-13,5,2018-03-13
f64b9ada7a5c691e6da2bc455523fcfc,15.02,2,0,2018-03-26,2018-04-19,2018-04-23,5,2018-04-20
db5b56a36b867ba0678ac17d64cbd915,6.86,4,-1,2018-02-14,2018-03-06,2018-03-12,5,2018-03-07
db5b56a36b867ba0678ac17d64cbd915,7.45,5,-1,2018-03-12,2018-05-07,2018-05-14,5,2018-05-08
db5b56a36b867ba0678ac17d64cbd915,17.48,3,-1,2018-05-14,2018-07-06,2018-07-11,5,2018-07-09
afaa0a92ce06820f32ed316df0b16e41,3.35,1,-1,2018-02-27,2018-03-14,2018-03-15,5,2018-03-15
afaa0a92ce06820f32ed316df0b16e41,25.76,6,3,2018-03-20,2018-05-11,2018-05-21,5,2018-05-14
afaa0a92ce06820f32ed316df0b16e41,6.42,3,-1,2018-07-05,2018-07-20,2018-07-25,5,2018-07-23
f0296800ab799e40b52ce4836e8bae02,17.46,4,1,2018-03-01,2018-03-14,2018-03-20,5,2018-03-15
f0296800ab799e40b52ce4836e8bae02,3.49,2,-1,2018-06-19,2018-07-13,2018-07-17,5,2018-07-16
9873f73a84a37cd7a6db8ce751d0055c,12.58,3,0,2018-03-05,2018-06-07,2018-06-12,5,2018-06-08
9873f73a84a37cd7a6db8ce751d0055c,4.0,1,-1,2018-07-03,2018-07-12,2018-07-13,5,2018-07-13
9873f73a84a37cd7a6db8ce751d0055c,8.44,2,-1,2018-07-13,2018-07-23,2018-07-25,5,2018-07-24
74c927d50aa53c26c3556b1dd4b9d254,21.08,2,1,2018-02-13,2018-03-08,2018-03-12,5,2018-03-09
74c927d50aa53c26c3556b1dd4b9d254,5.16,1,-1,2018-06-19,2018-07-23,2018-07-24,5,2018-07-24
b97eb95f66bdcadd72a488fd3500ebd6,2.97,2,-1,2018-02-13,2018-03-09,2018-03-13,5,2018-03-12
b97eb95f66bdcadd72a488fd3500ebd6,10.0,1,-1,2018-03-13,2018-03-26,2018-03-27,5,2018-03-27
b97eb95f66bdcadd72a488fd3500ebd6,7.77,2,-1,2018-06-19,2018-07-24,2018-07-26,5,2018-07-25
a63da4e35ab172240a25ae161c013cf7,6.11,5,-1,2018-02-13,2018-02-28,2018-03-07,5,2018-03-01
a63da4e35ab172240a25ae161c013cf7,24.6,3,1,2018-03-07,2018-03-20,2018-03-23,5,2018-03-21
a63da4e35ab172240a25ae161c013cf7,3.29,1,-1,2018-06-19,2018-07-17,2018-07-18,5,2018-07-18
1041f083c46cd72c2770e8e06288dc61,3.87,1,-1,2018-04-23,2018-05-15,2018-05-16,5,2018-05-16
1041f083c46cd72c2770e8e06288dc61,20.95,2,1,2018-06-26,2018-07-26,2018-07-30,5,2018-07-27
80ddc5281eaf1419f80fb25d81e54d55,21.46,2,1,2018-07-04,2018-07-13,2018-07-17,5,2018-07-16
15e2bea001ce254543df773d123201bb,35.62,4,2,2018-02-27,2018-03-19,2018-03-23,5,2018-03-20
15e2bea001ce254543df773d123201bb,10.01,1,-1,2018-04-13,2018-05-30,2018-05-31,5,2018-05-31
