brk_end,code,created,date,stage,xt_end,xt_start
,330c61471763f99f3f9e1ba2b765f09b,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
,30d148489957f5105c7d807303243819,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
2018-07-31,30d148489957f5105c7d807303243819,2018-08-29,2018-07-31,6,2018-07-30,2018-07-18
,e6bcafd3938440835c3d45081e05a048,2018-08-29,2018-08-17,4,2018-08-17,2018-07-17
,0660775238ce8ff9a7561eca83a6f8dc,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
,0660775238ce8ff9a7561eca83a6f8dc,2018-08-29,2018-08-16,4,2018-08-16,2018-07-17
2018-08-27,4773343ca071f44f9f7dfc16bed6552f,2018-08-29,2018-08-27,6,2018-08-23,2018-08-14
,4773343ca071f44f9f7dfc16bed6552f,2018-08-29,2018-08-01,4,2018-08-01,2018-07-17
2018-08-14,cd770213dd2f711fa300f608a4234119,2018-08-29,2018-08-14,6,2018-08-13,2018-07-19
,c0300b0f6afa660cad5c201e073bbc88,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,053540a5b347fec3d9c31e97098995a5,2018-08-29,2018-08-29,2,2018-08-29,2018-07-19
2018-08-27,fb3fc024acbd3e2decfc1a1fa3cbc8e0,2018-08-29,2018-08-27,6,2018-08-22,2018-08-06
,fb3fc024acbd3e2decfc1a1fa3cbc8e0,2018-08-29,2018-08-01,4,2018-08-01,2018-07-19
,12d97f633e7d881aa551b21318dc8795,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,12d97f633e7d881aa551b21318dc8795,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
,57e1c0241d65239d50a97b5edef7f0a7,2018-08-29,2018-08-29,2,2018-08-29,2018-07-30
,7616d6ace9a5308a0c874eda23e64342,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,7616d6ace9a5308a0c874eda23e64342,2018-08-29,2018-08-01,4,2018-08-01,2018-07-19
,3de2b04f27ca09b31264a54d1522016c,2018-08-29,2018-08-14,4,2018-08-14,2018-07-19
,8faa791e4627b5ce50ec0f4f301d8e4b,2018-08-29,2018-08-29,2,2018-08-29,2018-08-08
,8faa791e4627b5ce50ec0f4f301d8e4b,2018-08-29,2018-07-30,4,2018-07-30,2018-07-17
,7ad87127dcfd080f6dcac828d96d2eb2,2018-08-29,2018-08-29,2,2018-08-29,2018-07-17
,7b2ad7eebc05f18fce5d7beac932cb26,2018-08-29,2018-08-29,2,2018-08-29,2018-08-09
2018-08-09,7b2ad7eebc05f18fce5d7beac932cb26,2018-08-29,2018-08-09,6,2018-08-08,2018-07-26
,afaa0a92ce06820f32ed316df0b16e41,2018-08-29,2018-08-29,2,2018-08-29,2018-07-17
,0eedc89704cdac520af2f416aca9aaa7,2018-08-29,2018-08-29,2,2018-08-29,2018-07-19
,74d7d943c6077ee1fca17e461e798f96,2018-08-29,2018-08-29,2,2018-08-29,2018-07-30
2018-07-30,74d7d943c6077ee1fca17e461e798f96,2018-08-29,2018-07-30,6,2018-07-25,2018-07-17
